mean_erythema,p90_erythema,red_excess_ratio,p90_red_excess,rg_ratio,rb_ratio,mean_hue,std_hue,mean_saturation,std_saturation,mean_value,std_value,ycbcr_cr_mean,ycbcr_cr_std,skin_pixel_fraction,sobel_roughness,p90_roughness,sobel_direction_entropy,laplacian_sharpness,chromatic_dispersion,luminance_convexity,texture_contrast,texture_homogeneity,edge_density,category_index,category_name
19.4367,34.5565,23.7457,30.4427,1.3591,1.5617,16.2118,12.3993,40.8576,13.8416,94.249,38.6526,161.7151,9.9045,0.7849,31.9628,70.2056,2.5082,848.21,74.759,24.238,23.3654,43.9778,19.6497,0,Infection_Indicators
21.2575,46.9421,21.3966,32.6784,1.3181,1.2308,22.9482,9.6166,47.8798,9.1815,128.4363,33.378,161.1693,16.6855,0.7721,22.5913,53.4452,2.4825,915.7445,83.0282,15.3745,10.4218,45.5927,20.497,0,Infection_Indicators
33.2658,59.846,27.4913,42.7466,1.291,1.3002,11.7609,18.8986,44.4004,16.1533,178.5943,25.7125,161.8436,17.1862,0.8681,44.2753,94.7067,2.6232,1698.1737,70.0873,26.0,15.4777,39.8109,22.6044,0,Infection_Indicators
23.9234,54.0747,10.0,18.9915,1.5269,1.3171,15.1192,12.493,54.2386,19.4794,144.4048,35.5929,156.6795,19.8746,0.9519,26.8937,51.2958,2.821,943.1567,37.6567,15.1845,22.5663,43.0409,21.4752,0,Infection_Indicators
22.8689,41.3329,16.9786,29.2041,1.188,1.6246,18.911,7.806,36.3472,13.5334,140.047,28.9717,151.3857,16.0157,0.8197,31.4591,57.2549,2.7652,1235.9284,63.8672,17.0692,14.1012,36.7973,28.0254,0,Infection_Indicators
26.1897,39.9955,33.9274,49.9511,1.1813,1.3094,19.4783,12.4861,32.044,18.3085,108.2539,35.3151,149.564,22.1997,0.9842,35.6766,60.2156,2.5872,1425.4069,41.8444,14.9098,28.8429,30.1401,24.2001,0,Infection_Indicators
20.1572,39.1414,30.4554,45.1668,1.4065,1.5947,20.0862,17.8896,47.5735,12.5242,175.9869,41.2757,161.1415,12.182,0.8093,53.7412,99.7265,2.5969,1269.7945,80.9296,10.5294,21.8752,32.041,17.9834,0,Infection_Indicators
25.8798,53.7761,24.0517,36.0833,1.2829,1.8352,22.0032,11.0714,36.362,20.1711,142.0307,36.998,159.3127,15.7087,0.9909,32.4818,67.8857,2.8366,921.394,79.4152,14.8564,13.5256,44.3854,25.5046,0,Infection_Indicators
26.2775,53.0929,21.3565,35.7207,1.1857,1.6211,23.3446,12.0844,48.74,19.1574,138.4786,38.1034,166.0615,16.0292,0.9125,38.0211,93.6213,2.8177,638.9739,36.9862,14.6601,15.8644,42.6829,19.5247,0,Infection_Indicators
20.8724,35.4136,27.1581,39.425,1.2199,1.5087,15.4942,15.3658,46.4101,15.0678,180.8789,36.4374,141.824,16.7458,0.9488,34.7159,57.8542,2.4696,1301.9949,79.5836,9.1988,18.993,39.2004,18.7534,0,Infection_Indicators
26.9521,51.1865,31.0561,42.0913,1.2177,1.1952,17.8605,21.988,45.825,13.8033,112.1012,31.2642,142.0353,10.7992,0.904,35.5168,70.5013,2.7396,1123.4036,106.2639,15.6199,26.4584,41.3803,23.3958,0,Infection_Indicators
34.0396,55.2046,13.7185,26.2659,1.2988,1.4941,20.3488,12.0092,44.1269,15.7815,126.2127,37.9472,158.4991,13.2284,0.9072,41.6765,93.8157,2.8072,768.402,53.9167,16.9892,24.6622,42.8328,23.7626,0,Infection_Indicators
33.0392,60.1301,16.9227,24.1602,1.3217,1.5489,16.4887,18.2966,43.847,21.8429,141.0792,27.7083,169.3862,20.2609,0.8621,27.381,74.2818,2.5379,1408.2713,76.007,11.2034,20.9471,26.2799,34.5078,0,Infection_Indicators
19.4257,43.79,15.0175,22.2309,1.3543,1.3189,16.739,15.4282,32.9672,11.6664,106.6311,30.5059,158.1764,21.9014,0.8561,30.5958,69.3422,2.7193,1229.0874,49.1098,16.0774,30.1964,42.1299,25.6111,0,Infection_Indicators
23.2165,55.0758,23.4727,30.3583,1.3863,1.4087,29.9237,16.1249,42.1125,26.3699,170.5082,44.7126,155.2235,19.9052,0.905,27.5865,66.1344,2.6301,1513.0402,31.4176,6.3492,23.1749,47.5708,29.3084,0,Infection_Indicators
20.5386,51.1932,33.725,50.1178,1.4851,1.3249,10.777,19.9155,44.9691,23.5702,123.1114,27.8044,156.0367,16.1879,0.9422,38.5094,63.6757,2.4801,1148.1183,73.2599,16.8465,14.2521,30.7271,31.3049,0,Infection_Indicators
27.8027,56.8463,29.1511,41.774,1.4637,1.4266,14.1022,13.4236,59.4014,21.9502,146.327,29.6038,143.8839,21.7774,0.8594,35.4633,76.0229,2.8276,905.3142,88.02,17.9262,22.9842,42.8823,28.1766,0,Infection_Indicators
13.9423,38.6103,22.8931,31.7748,1.3713,1.2496,16.5334,10.2631,45.4359,22.2981,126.7855,35.5283,152.2882,12.8285,0.7943,29.1126,63.6834,2.6913,1885.8901,64.6347,11.2011,22.2839,42.1014,21.5637,0,Infection_Indicators
14.4894,36.1799,12.0654,25.4845,1.2323,1.15,23.0867,10.5483,46.2576,22.3588,101.5546,32.5564,166.6665,8.0,0.8106,27.8469,48.6497,2.5067,675.4949,52.2213,10.9071,18.8953,44.7458,28.9187,0,Infection_Indicators
21.8923,45.6291,15.484,30.4293,1.1748,1.3695,14.797,8.9688,54.3356,26.5924,101.5286,35.9408,151.4455,14.0515,0.7966,30.391,86.2616,2.6382,1119.4087,49.0429,15.0818,20.6986,41.0884,17.1008,0,Infection_Indicators
14.5678,39.9406,19.1131,36.2656,1.6061,1.6591,23.4785,11.4531,40.919,13.4908,118.0951,16.0,152.7897,14.7731,0.9027,47.5039,73.6784,2.4708,2213.511,35.0019,13.4058,18.5552,38.1843,27.9416,0,Infection_Indicators
12.0,30.9774,16.3442,33.4986,1.372,1.3034,19.4156,13.8773,56.51,19.1449,136.2521,29.1169,152.5868,14.2698,0.7911,43.5574,84.4801,2.8752,1448.4499,58.1316,18.8049,18.5515,26.695,16.4474,0,Infection_Indicators
14.3696,44.3611,22.0311,32.6377,1.4449,1.4153,14.7529,15.6478,47.4867,20.5602,120.5039,29.1974,159.5656,20.9893,0.8834,42.2737,68.3407,2.7572,663.4438,49.294,20.0391,23.4122,40.2198,28.3894,0,Infection_Indicators
14.8245,42.7704,16.5072,24.3062,1.426,1.2525,23.1741,19.9226,49.7209,26.4456,105.5242,23.2874,143.549,21.9842,0.8655,33.3542,77.8124,3.0,1143.7579,77.0638,15.924,22.3433,36.6762,26.0645,0,Infection_Indicators
23.7988,54.3102,20.3443,31.7543,1.6754,1.4838,16.1772,13.9664,55.639,15.3774,155.0449,16.0,154.3908,18.5126,0.8367,33.8031,62.7873,2.9704,649.8324,61.3173,13.9734,13.0851,49.4355,21.9781,0,Infection_Indicators
24.3837,38.0907,14.7301,32.6926,1.6803,1.4095,19.0669,14.4035,47.7828,17.3504,135.0268,28.172,155.7707,13.8263,0.8912,51.6651,89.2956,2.3211,1598.4341,30.0,12.6292,18.7714,31.7399,17.9442,0,Infection_Indicators
20.6946,45.8731,13.5197,19.8449,1.2214,1.2835,19.474,13.9786,50.5043,13.2603,122.4864,30.3955,161.697,12.2383,0.9639,29.1263,75.8497,2.8939,837.1067,47.1276,7.3209,31.5881,33.068,17.694,0,Infection_Indicators
15.7299,38.7708,27.8267,39.0602,1.3495,1.3845,16.3844,16.0965,45.6613,22.9649,148.7846,33.0521,153.4547,15.7722,0.8172,51.9152,82.2307,2.8208,1168.3462,60.6883,14.0737,23.0855,38.6819,17.941,0,Infection_Indicators
14.5742,37.6577,20.4751,34.2921,1.2543,1.4843,26.7786,20.782,36.9662,20.2963,151.838,37.6462,158.6853,8.0,0.7617,36.7988,60.1108,2.6111,526.254,74.4584,7.9039,16.2094,53.7305,17.2554,0,Infection_Indicators
27.9556,54.607,21.1657,29.745,1.2394,1.4195,31.2884,14.1158,56.3435,14.8357,145.8002,44.3956,151.6112,23.2498,0.8116,41.5405,89.3283,2.7999,1348.724,35.736,11.0915,19.5149,42.4045,27.0344,0,Infection_Indicators
33.873,59.0487,26.6339,40.9412,1.2565,1.5013,11.6726,14.2684,53.3664,18.6023,155.4328,30.5071,163.9035,15.6783,0.9611,51.1853,72.6656,2.6426,537.936,73.0186,9.8301,28.6676,40.9118,23.8774,0,Infection_Indicators
34.5473,64.2669,13.1418,26.5321,1.3315,1.5705,16.517,20.1374,66.6901,16.3672,137.5899,42.1737,167.057,13.9086,0.8097,38.2684,69.758,2.5993,698.3437,50.1796,13.8613,22.4053,55.404,16.5107,0,Infection_Indicators
26.2645,55.8469,17.152,34.4888,1.6434,1.2938,24.6021,20.9844,31.8704,18.3328,136.1493,27.8075,159.8876,13.5085,0.8375,54.4476,102.2884,2.6344,1237.4474,57.2221,11.1792,16.7783,61.859,29.0959,0,Infection_Indicators
16.6384,46.4134,20.3613,37.8291,1.36,1.4535,22.161,22.5408,44.4075,14.4077,110.4136,26.8835,155.7681,23.1782,0.7703,38.6374,61.6826,2.5609,1093.4308,85.3911,24.1077,17.8148,39.0845,29.787,0,Infection_Indicators
21.1904,46.3594,20.3389,36.5459,1.3768,1.5144,21.4116,17.9298,55.0767,24.8926,116.5162,35.3639,153.4077,12.6658,0.9359,37.6502,90.9356,2.661,1009.7145,64.0615,17.271,12.0636,43.1971,23.5847,0,Infection_Indicators
23.4344,50.655,21.8032,34.2984,1.3067,1.4446,21.9179,15.2464,41.9821,18.8734,167.9726,24.8144,156.9308,13.1995,0.8365,33.847,88.7085,2.7392,876.4313,70.7898,20.2621,20.6055,38.5584,35.2275,0,Infection_Indicators
16.915,44.8112,18.8444,33.1686,1.4771,1.6097,17.9324,9.9122,44.9687,20.8497,121.9548,43.621,162.2852,15.1737,0.8075,26.1152,80.6895,2.9366,1302.2007,63.4794,15.0787,19.6197,48.6617,27.6965,0,Infection_Indicators
21.6809,49.6116,25.2535,37.0318,1.2253,1.6882,18.8072,8.7769,47.1529,14.9353,137.8129,27.4316,152.8767,8.4418,0.7529,37.542,76.7396,2.6168,466.4389,77.6875,17.1432,23.5527,35.2642,22.6899,0,Infection_Indicators
35.5155,61.5648,17.829,30.5447,1.1973,1.406,17.7079,14.1554,44.3889,14.7066,150.4082,24.5616,162.9222,18.4932,0.8,43.8595,65.123,2.8587,1824.792,70.4427,15.5731,25.0887,38.3643,30.0786,0,Infection_Indicators
26.3048,47.3512,24.1505,37.8734,1.563,1.4317,15.8732,12.5645,43.1169,19.9087,131.4567,27.9841,155.8295,24.5691,0.8888,22.9833,82.8367,2.833,1115.2014,66.1606,16.4541,14.8632,40.941,12.1542,0,Infection_Indicators
12.0,31.4208,16.4715,34.3233,1.1013,1.7203,18.4941,21.6233,31.3034,15.4225,137.01,33.2549,159.73,10.9848,0.9079,34.6955,83.3285,2.7794,1229.5201,58.7532,7.398,20.6975,41.7462,29.9056,0,Infection_Indicators
21.5962,52.9844,14.474,23.5716,1.1387,1.5857,16.755,15.886,45.5777,20.1467,139.5364,23.0191,162.9739,14.025,0.8577,44.4577,92.7288,2.5112,960.5391,57.7134,12.7135,33.4605,46.0555,25.7953,0,Infection_Indicators
19.1602,32.302,15.577,27.9511,1.3017,1.2344,18.088,16.2936,40.7011,18.0418,140.7869,35.1677,155.0649,20.3435,0.8789,50.2576,75.8437,2.6991,724.6128,75.5968,15.1063,17.0957,51.5847,21.9343,0,Infection_Indicators
30.905,52.8485,24.7929,38.2071,1.3482,1.5681,24.3065,19.2481,51.7486,12.8565,187.6686,23.9756,158.1184,12.9829,0.9999,51.3085,102.604,2.6821,1745.4845,72.1636,13.0234,26.7845,52.5158,15.0205,0,Infection_Indicators
30.3886,44.7928,20.665,33.1989,1.1411,1.15,14.7512,20.7102,32.0255,16.6341,95.1371,27.7932,157.1879,13.1995,0.9171,34.6794,69.8709,3.0,1123.6568,84.2701,12.183,20.8804,33.746,13.0368,0,Infection_Indicators
34.1508,62.4105,23.7042,38.3217,1.4263,1.445,19.5002,14.2496,39.2143,16.737,112.6409,31.3116,149.0799,11.5856,0.9508,21.2884,65.7017,2.7795,704.1487,80.9339,10.0701,19.6522,47.4004,16.7058,0,Infection_Indicators
27.8529,44.9842,16.092,33.6472,1.5156,1.388,16.221,14.7548,50.2477,18.6265,170.6231,34.6878,154.0124,17.6048,0.803,27.184,80.7785,2.9824,989.8707,77.5248,16.9887,16.795,49.4232,19.3571,0,Infection_Indicators
15.6214,39.3536,28.0311,36.0472,1.4087,1.4662,18.1106,13.9807,46.3943,17.3385,157.2776,47.4737,152.0976,10.5208,0.8986,34.9722,60.4297,2.7197,778.5302,93.5041,20.7108,17.6785,47.5519,33.5846,0,Infection_Indicators
12.0,31.0999,14.1294,20.9625,1.2137,1.4054,16.0153,17.3055,55.2796,18.4884,155.7525,46.825,147.7918,11.0661,0.9174,37.0777,75.6859,2.7829,1138.5735,51.744,10.0372,24.7765,35.6803,23.5283,0,Infection_Indicators
28.6189,59.1624,22.526,31.3417,1.1671,1.3494,24.8229,15.0669,66.874,19.7699,141.841,29.8362,156.9348,15.3901,0.9455,26.915,61.3205,2.5865,365.5179,73.1438,9.5865,9.0,46.1086,39.2045,0,Infection_Indicators
19.9147,50.5266,26.5528,33.9492,1.2586,1.5866,21.7285,16.8984,41.4359,16.9364,97.2417,29.5289,148.744,21.2523,0.9939,54.4319,79.7329,2.7912,2085.9511,58.5975,11.3983,24.1782,22.7943,23.4157,0,Infection_Indicators
23.4276,54.7441,19.9918,31.1818,1.329,1.15,14.4912,13.9236,35.1127,20.6997,185.615,40.5313,154.5059,21.9629,0.7645,28.1022,52.9576,2.6584,854.6389,58.5555,12.4473,22.0225,44.2846,23.0198,0,Infection_Indicators
21.301,41.8227,30.993,38.5616,1.302,1.5583,16.5659,9.8158,56.8703,16.5751,138.5729,37.3354,155.7908,15.3027,0.8703,30.7735,72.1859,2.7788,702.3575,63.4431,6.1594,33.3634,33.4555,22.7394,0,Infection_Indicators
